iter	RMSE
0	38.91756805
1	38.91254723
2	38.90812683
3	38.90435484
4	38.90023318
5	38.8964494
6	38.89324448
7	38.89025997
8	38.88723478
9	38.88436384
10	38.88193598
11	38.87965512
12	38.87734469
13	38.87499734
14	38.87297732
15	38.87070881
16	38.86874377
17	38.86680807
18	38.86494589
19	38.86349582
20	38.86182302
21	38.86012807
22	38.85874592
23	38.85753673
24	38.85639744
25	38.85513111
26	38.85388132
27	38.85292967
28	38.85209398
29	38.85104473
30	38.85009302
31	38.84901979
32	38.8482558
33	38.84738135
34	38.84654921
35	38.84572074
36	38.84504507
37	38.84430678
38	38.84352429
39	38.84298114
40	38.84222257
41	38.84163705
42	38.84090606
43	38.8404126
44	38.83989518
45	38.83932436
46	38.83824899
47	38.83767262
48	38.83730986
49	38.83678872
50	38.8363173
51	38.83566724
52	38.83518107
53	38.83484222
54	38.83428974
55	38.83384039
56	38.83318476
57	38.83264331
58	38.83231365
59	38.83201161
60	38.83171878
61	38.83150882
62	38.83106864
63	38.83090104
64	38.83064135
65	38.83034483
66	38.83000593
67	38.82980518
68	38.82955653
69	38.82919737
70	38.82885663
71	38.82859877
72	38.82789516
73	38.8276815
74	38.8273518
75	38.82710498
76	38.82675869
77	38.82640135
78	38.82621531
79	38.82592243
80	38.82570692
81	38.82553192
82	38.82521141
83	38.82449485
84	38.82433091
85	38.82407486
86	38.82344854
87	38.82287564
88	38.82230273
89	38.82199324
90	38.82149216
91	38.82128215
92	38.82114767
93	38.82099845
94	38.82071106
95	38.82061158
96	38.82029655
97	38.82023391
98	38.81967017
99	38.8195449
100	38.81923355
101	38.81903826
102	38.81881902
103	38.818609
104	38.81834738
105	38.81823131
106	38.8181134
107	38.81799365
108	38.81797338
109	38.81778546
110	38.81755516
111	38.81746488
112	38.81735618
113	38.81731012
114	38.81708534
115	38.8170098
116	38.8167924
117	38.81667264
118	38.8165234
119	38.81638153
120	38.8162673
121	38.81613096
122	38.81596514
123	38.81578826
124	38.81525946
125	38.81515997
126	38.81498493
127	38.81455193
128	38.81445244
129	38.81437689
130	38.81428845
131	38.81413183
132	38.81393283
133	38.81376884
134	38.81363065
135	38.81319948
136	38.81307419
137	38.81302444
138	38.81289361
139	38.81279964
140	38.81267065
141	38.81251219
142	38.812409
143	38.81231502
144	38.81226343
145	38.81213076
146	38.81198519
147	38.81182488
148	38.81174011
149	38.81162587
150	38.81139185
151	38.81126286
152	38.81105463
153	38.81099198
154	38.81095697
155	38.81068793
156	38.81046496
157	38.81028622
158	38.81022909
159	38.81006509
160	38.81000243
161	38.80989371
162	38.80973155
163	38.80960439
164	38.80946434
165	38.80919345
166	38.80894836
167	38.80885253
168	38.80875302
169	38.80861481
170	38.80843974
171	38.80838077
172	38.80829784
173	38.80820939
174	38.80802695
175	38.80789242
176	38.80774683
177	38.80769707
178	38.80763442
179	38.8073543
180	38.80727874
181	38.8070963
182	38.80660055
183	38.80650288
184	38.80642916
185	38.806302
186	38.80624303
187	38.8060016
188	38.80595184
189	38.80581362
190	38.8057399
191	38.80563669
192	38.8054911
193	38.80533076
194	38.80519622
195	38.80511329
196	38.80508749
197	38.80494558
198	38.80491793
199	38.80481104
200	38.80477786
201	38.80467834
202	38.80461015
203	38.80442032
204	38.80438162
205	38.80400932
206	38.80386188
207	38.80373471
208	38.80360385
209	38.8034048
210	38.80332923
211	38.80323339
212	38.8027247
213	38.80258278
214	38.8024169
215	38.80231
216	38.80218651
217	38.80207224
218	38.80201141
219	38.8019082
220	38.80163541
221	38.80153588
222	38.80141423
223	38.80129811
224	38.80117831
225	38.80081889
226	38.80060692
227	38.80052766
228	38.80042075
229	38.80037652
230	38.80010556
231	38.79988806
232	38.7997277
233	38.79951941
234	38.79944384
235	38.79923371
236	38.79906228
237	38.79858487
238	38.79839317
239	38.79814985
240	38.79810561
241	38.79798764
242	38.79783649
243	38.79768717
244	38.79756183
245	38.79747888
246	38.79718763
247	38.79693324
248	38.79684291
249	38.79669913
250	38.7966254
251	38.79633782
252	38.79616823
253	38.796065
254	38.79591015
255	38.79567788
256	38.79545851
257	38.79526863
258	38.79510825
259	38.79498105
260	38.79493865
261	38.79470085
262	38.79460314
263	38.79447594
264	38.79425656
265	38.79410355
266	38.7939616
