iter	Passed	Remaining
0	78	235699
1	180	270171
2	256	256302
3	348	260676
4	407	243831
5	471	235140
6	542	232019
7	608	227758
8	668	221999
9	737	220530
10	807	219483
11	878	218781
12	938	215580
13	1007	214928
14	1084	215793
15	1162	216842
16	1231	216004
17	1291	213902
18	1366	214378
19	1434	213700
20	1500	212863
21	1574	213157
22	1638	212072
23	1697	210516
24	1760	209539
25	1822	208481
26	1901	209342
27	1971	209311
28	2030	208055
29	2080	205988
30	2136	204664
31	2206	204684
32	2275	204601
33	2337	203920
34	2398	203216
35	2474	203735
36	2546	203922
37	2617	203993
38	2682	203664
39	2762	204418
40	2840	204999
41	2892	203683
42	2979	204871
43	3056	205326
44	3124	205202
45	3202	205668
46	3261	204892
47	3325	204547
48	3425	206308
49	3506	206854
50	3584	207265
51	3650	206959
52	3726	207188
53	3793	206951
54	3858	206622
55	3924	206294
56	3990	206014
57	4057	205798
58	4130	205919
59	4195	205574
60	4293	206850
61	4375	207342
62	4450	207497
63	4500	206468
64	4569	206318
65	4642	206399
66	4729	207041
67	4794	206723
68	4891	207765
69	4971	208088
70	5039	207894
71	5107	207704
72	5173	207416
73	5256	207854
74	5315	207310
75	5382	207090
76	5440	206544
77	5519	206784
78	5584	206497
79	5646	206109
80	5712	205844
81	5781	205748
82	5855	205804
83	5932	205958
84	6001	205813
85	6063	205446
86	6136	205464
87	6202	205245
88	6274	205215
89	6351	205377
90	6427	205454
91	6492	205215
92	6588	205951
93	6681	206550
94	6741	206138
95	6798	205667
96	6856	205205
97	6935	205373
98	7004	205241
99	7069	205010
100	7146	205113
101	7213	204961
102	7294	205157
103	7363	205056
104	7434	204979
105	7501	204811
106	7567	204617
107	7637	204524
108	7713	204580
109	7799	204922
110	7871	204877
111	7949	204993
112	8019	204877
113	8093	204897
114	8159	204693
115	8230	204615
116	8303	204618
117	8376	204583
118	8438	204293
119	8513	204325
120	8586	204301
121	8675	204662
122	8749	204642
123	8828	204755
124	8884	204336
125	8951	204187
126	9040	204518
127	9108	204363
128	9212	205023
129	9287	205035
130	9364	205080
131	9472	205806
132	9531	205473
133	9602	205380
134	9673	205293
135	9742	205175
136	9837	205588
137	9930	205948
138	10014	206131
139	10090	206131
140	10176	206349
141	10265	206608
142	10326	206321
143	10404	206354
144	10498	206710
145	10567	206568
146	10618	206089
147	10714	206476
148	10800	206653
149	10876	206656
150	10944	206500
151	11059	207221
152	11109	206715
